id,klub,instagram_followers,x_followers,average_attendance,trophy_won,manager_count,club_market,club_income,club_expenditure,club_2024_goal,club_2024_ga,club_2024_won,club_2024_lose,club_2024_draw
1,Liverpool,"44,7","24,363,396",53348,63,21,"868,75",1240,2140,64,25,19,2,6
2,Manchester City,"51,6","17,528,348",53282,36,49,1260,1100,2840,62,27,19,3,5
3,Arsenal,"28,8","22,264,172",60196,47,29,1120,"900,92",1930,68,23,19,4,4
4,Aston Villa,"3,8","2,394,937",41640,48,36,"623,05","637,41",1260,59,37,17,6,4
5,Tottenham,"16,9","8,878,222",61537,28,33,"761,30","120,7",2000,55,39,15,6,5
6,Manchester United,"63,3","37,702,038",73520,69,29,"735,25","891,58",2610,37,39,14,11,2
7,West Ham United,"4,4","2,722,671",62467,8,18,"440,60","789,66",1290,43,47,12,9,6
8,Newcastle United,"2,7","2,756,484",52151,16,47,"638,70","717,27",1470,57,45,12,11,4
9,Brighton & Hove Albion,"2,1 ","1,000,000",31507,0,42,"487,10","491,87","556,91",49,44,10,8,9
10,Wolverhamton Wanderers,"2,8","1,200,000",31369,21,32,"302,70","517,40","861,30",40,43,11,11,5
11,Chelsea,"41,7","25,511,693",39706,34,34,"947,30",1760,3630,44,43,10,10,6
12,Fulham,"1,1","770,275",24267,0,45,"335,00","334,88","716,49",39,42,10,12,5
13,AFC Bournemouth,"0,906","704,906",11039,1,38,"341,80","219,52","515,05",35,47,8,11,7
14,Crystal Palace,"1,9","1,459,188",24832,0,61,"385,90","274,62","590,01",32,47,7,13,7
15,Brentford,"0,641","362,200",17062,0,44,"407,18","218,75","248,17",39,50,7,15,5
16,Everton,"3,1","3,050,492",39122,15,26,"336,90","904,94",1230,29,37,8,12,7
17,Nottingham Forest,1,"662,106",29324,10,19,"359,65","313,12","526,72",34,49,6,15,6
18,Luton Town,"0,419","221,319",10988,6,45,"101,60","64,84","44,27",37,54,5,16,5
19,Burnley,"0,691","819,573",21281,7,29,"253,10","266,06","427,38",25,60,3,20,4
20,Sheffield United,"0,738","576,856",30422,7,43,"146,75","80,72","300,45",22,72,3,20,4
